,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,12/27/09,San Luis Obispo,CA,35.2,-120.6,1,
2,12/27/09,San Luis Obispo,CA,35.2,-120.6,1,
3,12/26/09,Angangueo,MIC,20,-100,1,
4,12/14/09,San Luis Obispo,CA,35.2,-120.6,1,
5,12/14/09,San Luis Obispo,CA,35.2,-120.6,1,
6,12/02/09,San Luis Obispo,CA,35.2,-120.6,1,
7,12/02/09,Big Sur,CA,36.2,-121.6,1,
8,11/22/09,Tarpley,TX,29.6,-99.2,1,
9,11/18/09,Big Sur,CA,36.2,-121.6,1,
10,11/18/09,San Luis Obispo,CA,35.2,-120.6,1,
11,11/16/09,Tarpley,TX,29.6,-99.2,1,
12,11/12/09,Palm Bay,FL,28,-80.6,1,
13,11/10/09,Tarpley,TX,29.6,-99.2,1,
14,10/23/09,Kendalia,TX,29.9,-98.5,1,
15,10/17/09,Lexington,MA,42.4,-71.2,1,
16,10/15/09,Greenville,MS,33.3,-91,1,
17,10/15/09,Columbus,GA,32.3,-84.8,1,
18,10/15/09,Balcones Canyonlands NWR,TX,30.6,-98.3,1,
19,10/13/09,Corsicana,TX,32.1,-96.4,1,
20,10/10/09,Smyrna,GA,33.9,-84.5,1,
21,10/10/09,greenwood,SC,34.1,-82.2,1,
22,10/07/09,Freeport,ME,43.9,-70.1,1,
23,10/04/09,"Beaverdam Reservoir, Loudoun County",VA,39,-77.3,1,
24,10/04/09,Weston,CT,41.2,-73.4,1,
25,10/03/09,Shad Bay,NS,44.5,-63.8,1,
26,10/01/09,Tatamagouche,NS,45.7,-63.3,1,
27,10/01/09,Sunapee,NH,43.4,-72.1,1,
28,09/30/09,Cambridge Station,NS,45.1,-64.6,1,
29,09/30/09,Creston,IA,41.1,-94.4,1,
30,09/29/09,alstead,NH,43.1,-72.3,1,
31,09/28/09,Santa Fe,NM,35.8,-106,1,
32,09/25/09,Fairfax,VT,44.7,-73,1,
33,09/25/09,Jericho,VT,44.5,-73,1,
34,09/25/09,alstead,NH,43.1,-72.3,1,
35,09/24/09,Chesterfield,MI,42.7,-82.8,1,
36,09/23/09,Scotia,NY,42.9,-74,1,
37,09/23/09,"La Grange Park,",IL,41.8,-87.9,1,
38,09/20/09,Torrington,CT,41.8,-73.1,1,
39,09/16/09,Scarborough,ME,43.6,-70.4,1,
40,09/16/09,Moretown,VT,44.3,-72.7,1,
41,09/15/09,Homer Glen,IL,41.6,-87.9,1,
42,09/15/09,Stockton,IL,42.3,-90,1,
43,09/13/09,Cross Hill/Lake Greenwood,SC,34.1,-82,1,
44,09/11/09,Eden Prairie,MN,44.9,-93.4,1,
45,09/11/09,chicopee,MA,42.1,-72.6,1,
46,09/10/09,Clemson,SC,34.7,-82.8,1,
47,09/10/09,Jackson,NJ,40.1,-74.4,1,
48,09/08/09,Burlington,VT,44.5,-73.2,1,
49,09/08/09,Tupper Lake,NY,44.2,-74.4,1,
50,09/03/09,Ledgewood,NJ,40.9,-74.7,1,
51,08/30/09,Wakefield,MA,42.5,-71.1,1,
52,08/28/09,Kansas City,MO,39.1,-94.6,1,
53,08/26/09,Ledgewood,NJ,40.9,-74.7,1,
54,08/25/09,Newport,RI,41.5,-71.3,1,
55,08/24/09,Kansas City,MO,39.1,-94.6,1,
56,08/24/09,Monroe,LA,32.4,-92.2,1,
57,08/23/09,Plum Borough,PA,40.6,-79.7,1,
58,08/21/09,Moultonborough,NH,43.7,-71.4,1,
59,08/21/09,Livermore,ME,44.4,-70.2,1,
60,08/21/09,Wilderville,OR,42.4,-123.6,1,
61,08/21/09,Greenville,MS,33.3,-91,1,
62,08/21/09,Stockton,IL,42.3,-90,1,
63,08/18/09,Eagle Pass,TX,28.6,-100.3,1,
64,08/15/09,Norwich,VT,43.8,-72.3,1,
65,08/15/09,Duxbury,VT,44.3,-72.8,1,
66,08/15/09,Milton,VT,44.7,-73.1,1,
67,08/15/09,Middletown Springs,VT,43.5,-73.1,1,
68,08/12/09,Damariscotta,ME,44,-69.5,1,
69,08/09/09,Canton New York 13617,NY,44.6,-75.2,1,
