,Date,Town,State/Province,Latitude,Longitude,Number,Year
1,12/31/23,Savannah,GA,32.1,-81.1,1,2023
2,12/31/23,Needville,TX,29.4,-95.6,1,2023
3,12/31/23,Port O'Connor,TX,28.5,-96.4,1,2023
4,12/31/23,Umatilla,FL,29,-81.7,2,2023
5,12/31/23,Pearland,TX,29.5,-95.4,4,2023
6,12/30/23,Phoenix,AZ,33.5,-112,3,2023
7,12/30/23,Port Lavaca,TX,28.5,-96.4,2,2023
8,12/30/23,Round Rock,TX,30.5,-97.7,1,2023
9,12/30/23,Stonewall,TX,30.2,-98.5,2,2023
10,12/30/23,San Antonio,TX,29.5,-98.5,1,2023
11,12/30/23,New Ringgold,PA,40.6,-76,0,2023
12,12/29/23,Mesa,AZ,33.4,-111.7,1,2023
13,12/29/23,El Segundo,CA,33.9,-118.4,3,2023
14,12/28/23,Okaloosa Island,FL,30.4,-86.6,1,2023
15,12/28/23,San Leandro,CA,37.7,-122.1,1,2023
16,12/28/23,Austin,TX,30.4,-97.7,2,2023
17,12/28/23,Boerne,TX,29.8,-98.7,1,2023
18,12/28/23,Boerne,TX,29.8,-98.7,1,2023
19,12/27/23,Phoenix,AZ,33.5,-112,1,2023
20,12/27/23,Fulton,TX,28.1,-97,5,2023
21,12/27/23,Canyon Lake,TX,29.9,-98.2,1,2023
22,12/27/23,Weedhaven,TX,28.7,-96.4,1,2023
23,12/27/23,Ramona,CA,33,-116.8,1,2023
24,12/27/23,Augusta,GA,33.5,-82,1,2023
25,12/26/23,Parrish,FL,27.6,-82.5,4,2023
26,12/26/23,Austwell,TX,28.3,-96.8,1,2023
27,12/26/23,Summerfield,FL,29,-82,2,2023
28,12/26/23,Palmarejo,PR,18.3,-66.3,4,2023
29,12/26/23,San Antonio,TX,29.6,-98.4,1,2023
30,12/25/23,Phoenix,AZ,33.5,-112,1,2023
31,12/25/23,Rockport,TX,28.1,-97,1,2023
32,12/25/23,Palmarejo,PR,18.3,-66.3,3,2023
33,12/25/23,Highlands,TX,29.8,-95.1,1,2023
34,12/24/23,Boerne,TX,29.8,-98.7,1,2023
35,12/24/23,Corpus Christi,TX,27.7,-97.4,2,2023
36,12/24/23,Edinburg,TX,26.3,-98.2,2,2023
37,12/24/23,Oakland,CA,37.8,-122.2,1,2023
38,12/24/23,El Segundo,CA,33.9,-118.4,1,2023
39,12/24/23,Austin,TX,30.3,-97.7,1,2023
40,12/24/23,Palmarejo,PR,18.3,-66.3,3,2023
41,12/24/23,Port O'Connor,TX,28.4,-96.4,1,2023
42,12/23/23,Savannah,GA,31.9,-81.1,2,2023
43,12/23/23,Palmarejo,PR,18.3,-66.3,3,2023
44,12/23/23,Slidell,LA,30.3,-89.8,1,2023
45,12/23/23,Gulfport,MS,30.4,-89,1,2023
46,12/23/23,Warner Robins,GA,32.6,-83.6,2,2023
47,12/23/23,Mcveytown,PA,40.5,-77.8,0,2023
48,12/22/23,Corpus Christi,TX,27.7,-97.4,1,2023
49,12/22/23,Baton Rouge,LA,30.4,-91,1,2023
50,12/22/23,Palmarejo,PR,18.3,-66.3,2,2023
51,12/22/23,Steinhatchee,FL,29.7,-83.4,1,2023
52,12/21/23,Baton Rouge,LA,30.4,-91.1,1,2023
53,12/21/23,Palmarejo,PR,18.3,-66.3,4,2023
54,12/20/23,Corpus Christi,TX,27.7,-97.4,1,2023
55,12/20/23,Palmarejo,PR,18.3,-66.3,2,2023
56,12/20/23,Austwell,TX,28.2,-96.8,1,2023
57,12/20/23,,TX,28.2,-96.8,1,2023
58,12/20/23,Austwell,TX,28.2,-96.8,1,2023
59,12/19/23,Dripping Springs,TX,30.3,-98.1,1,2023
60,12/19/23,Orange Park,FL,30.1,-81.7,1,2023
61,12/19/23,Cibolo,TX,29.6,-98.2,4,2023
62,12/19/23,Patterson,LA,29.7,-91.3,1,2023
63,12/19/23,Palmarejo,PR,18.3,-66.3,3,2023
64,12/19/23,Mcveytown,PA,40.5,-77.8,0,2023
65,12/18/23,Tucson,AZ,32.2,-110.8,1,2023
66,12/18/23,San Antonio,TX,29.4,-98.5,1,2023
67,12/18/23,Tallahassee,FL,30.6,-84.2,1,2023
68,12/18/23,Tallahassee,FL,30.6,-84.2,1,2023
69,12/18/23,Alvin,TX,29.4,-95.2,0,2023
70,12/18/23,Galveston,TX,29.3,-94.8,1,2023
71,12/18/23,Corpus Christi,TX,27.8,-97.4,2,2023
72,12/18/23,Summerfield,FL,29,-82,4,2023
73,12/18/23,Ingleside,TX,27.9,-97.2,5,2023
74,12/18/23,Ramona,CA,33,-116.8,1,2023
75,12/18/23,Palmarejo,PR,18.3,-66.3,3,2023
76,12/17/23,Tucson,AZ,32.2,-110.8,1,2023
77,12/17/23,Mission,TX,26.2,-98.3,10,2023
78,12/17/23,Tucson,AZ,32.2,-111,1,2023
79,12/17/23,Ramona,CA,33,-116.8,1,2023
80,12/17/23,Palmarejo,PR,18.3,-66.3,1,2023
81,12/17/23,Rockledge,FL,28.3,-80.7,3,2023
82,12/16/23,Mansfield,TX,32.6,-97.1,1,2023
83,12/16/23,Palmarejo,PR,18.3,-66.3,2,2023
84,12/16/23,Ramona,CA,33,-116.8,5,2023
85,12/16/23,Tyler,TX,32.3,-95.3,1,2023
86,12/16/23,Savannah,GA,32,-81.1,1,2023
87,12/15/23,Port Charlotte,FL,27,-82.1,1,2023
88,12/15/23,Corpus Christi,TX,27.7,-97.4,1,2023
89,12/15/23,Francitas,TX,28.8,-96.3,1,2023
90,12/15/23,Phoenix,AZ,33.5,-112,3,2023
91,12/15/23,Bluffton,SC,32.2,-80.9,4,2023
92,12/15/23,Charleston,SC,32.7,-80,2,2023
93,12/15/23,Palmarejo,PR,18.3,-66.3,1,2023
94,12/15/23,Ramona,CA,33,-116.8,3,2023
95,12/15/23,Los Angeles,CA,34.1,-118.3,2,2023
96,12/15/23,Los Angeles,CA,34.1,-118.3,1,2023
97,12/14/23,Scurry,TX,32.5,-96.4,1,2023
98,12/14/23,Scurry,TX,32.5,-96.4,1,2023
99,12/14/23,Scurry,TX,32.5,-96.4,1,2023
100,12/14/23,Scurry,TX,32.5,-96.4,1,2023
101,12/14/23,Missouri City,TX,29.6,-95.6,4,2023
102,12/14/23,Ramona,CA,33,-116.8,4,2023
103,12/14/23,Tivoli,TX,28.5,-96.8,1,2023
104,12/13/23,Baywood-Los Osos,CA,35.3,-120.8,2,2023
105,12/13/23,Crawfordville,FL,30.2,-84.4,1,2023
106,12/13/23,Crawfordville,FL,30.2,-84.4,1,2023
107,12/13/23,Ramona,CA,33,-116.8,2,2023
108,12/12/23,Corpus Christi,TX,27.7,-97.4,1,2023
109,12/12/23,El Segundo,CA,33.9,-118.4,2,2023
110,12/12/23,El Segundo,CA,33.9,-118.4,2,2023
111,12/12/23,Baywood-Los Osos,CA,35.3,-120.8,1,2023
112,12/12/23,Daphne,AL,30.6,-87.8,2,2023
113,12/12/23,Glen Rose,TX,32.2,-97.8,2,2023
114,12/11/23,Coxen Hole,Bay Islands Department,16.3,-86.5,1,2023
115,12/11/23,Coxen Hole,Bay Islands Department,16.3,-86.5,2,2023
116,12/11/23,Daphne,AL,30.6,-87.8,1,2023
117,12/11/23,Berkeley,CA,37.9,-122.3,2,2023
118,12/11/23,Hutto,TX,30.5,-97.6,1,2023
119,12/11/23,St Simons Island,GA,31.1,-81.4,1,2023
120,12/11/23,Canyon Lake,TX,29.8,-98.2,2,2023
121,12/11/23,Ramona,CA,33,-116.8,4,2023
122,12/11/23,New Ringgold,PA,40.6,-76,0,2023
