Row Labels,Sum of Number,,,,,,
AK,1,,AK,Alaska,,,
AL,4045,,AL,Alabama,,,
AR,3723,,AR,Arkansas,,,
AZ,3142,,AZ,Arizona,,,
CA,35576,,CA,California,,,
CO,1283,,CO,Colorado,,,
CT,5140,,CT,Connecticut,,,
DC,378,,DC,District of Columbia,,,
DE,2221,,DE,Delaware,,,
FL,9820,,FL,Florida,,,
GA,12473,,GA,Georgia,,,
HI,31,,HI,Hawaii,,,
IA,7646,,IA,Iowa,,,
ID,230,,ID,Idaho,,,
IL,14166,,IL,Illinois,,,
IN,10653,,IN,Indiana,,,
KS,20909,,KS,Kansas,,,
KY,4811,,KY,Kentucky,,,
LA,14191,,LA,Louisiana,,,
MA,4669,,MA,Massachusetts,,,
MD,6334,,MD,Maryland,,,
MI,30799,,ME,Maine,,,
MN,19972,,MI,Michigan,,,
MO,22061,,MN,Minnesota,,,
MS,1647,,MO,Missouri,,,
MT,61,,MS,Mississippi,,,
NC,10572,,MT,Montana,,,
ND,713,,NC,North Carolina,,,
NE,3343,,ND,North Dakota,,,
NH,4034,,NE,Nebraska,,,
NJ,10915,,NH,New Hampshire,,,
NM,2533,,NJ,New Jersey,,,
NV,284,,NM,New Mexico,,,
NY,18144,,NV,Nevada,,,
OH,14309,,NY,Oklahoma,,,
OK,24727,,OH,Ohio,,,
ON,46660,,OK,Oklahoma,,,
OR,191,,OR,Oregon,,,
PA,19985,,PA,Pennsylvania,,,
RI,1537,,RI,Rhode Island,,,
SC,4581,,SC,South Carolina,,,
SD,981,,SD,South Dakota,,,
TN,4098,,TN,Tennessee,,,
TX,63746,,TX,Texas,,,
UT,668,,UT,Utah,,,
VA,9750,,VA,Virginia,,,
VT,1819,,VT,Vermont,,,
WA,190,,WA,Washington,,,
WI,17558,,WI,Wisconsin,,,
WV,1621,,WV,West Virginia,,,
WY,99,,WY,Wyoming,,,
Grand Total,499040,,,Wyoming,,,
