Unnamed: 0,Date,Town,State/Province,Latitude,Longitude,Number,Image,Year
1,11/24/99,Front Royal,VA,38.9,-78.2,1,,1999
2,11/19/99,Grafton,VA,37.1,-76.5,1,,1999
3,11/14/99,Mt. Ida,AR,34.5,-93.7,1,,1999
4,11/12/99,Houston,TX,29.8,-95.4,1,,1999
5,11/10/99,Beach Haven,NJ,39.6,-74.2,1,,1999
6,11/06/99,Virginia Beach,VA,36.8,-76.1,1,,1999
7,11/06/99,Newport News,VA,37.1,-76.5,1,,1999
8,10/29/99,Mishicot,WI,44.3,-87.6,1,,1999
9,10/29/99,Woodbridge,NJ,40.6,-74.3,1,,1999
10,10/29/99,Canton,MI,42.3,-83.5,1,,1999
11,10/25/99,Floyd,VA,36.9,-80.3,1,,1999
12,10/24/99,DeForest,WI,43.2,-89.3,1,,1999
13,10/21/99,West Portsmouth,OH,38.7,-83.1,1,,1999
14,10/19/99,Framingham,MA,42.3,-71.4,1,,1999
15,10/19/99,Katonah,NY,41.1,-73.5,1,,1999
16,10/17/99,Tupelo,MS,34.3,-88.7,1,,1999
17,10/16/99,Montpelier,VT,44.3,-72.6,1,,1999
18,10/15/99,Milwaukee,WI,43.0,-87.9,1,,1999
19,10/15/99,Waukesha,WI,43.0,-88.2,1,,1999
20,10/15/99,Anniston,AL,33.7,-85.8,1,,1999
21,10/14/99,Floyd,VA,36.9,-80.3,1,,1999
22,10/14/99,Springport,MI,42.4,-84.7,1,,1999
23,10/14/99,Peachtree City,GA,33.4,-84.6,1,,1999
24,10/14/99,Radford,VA,37.2,-80.6,1,,1999
25,10/13/99,Tulsa,OK,36.1,-96.0,1,,1999
26,10/12/99,Fairview Park,OH,41.4,-81.9,1,,1999
27,10/12/99,Abilene,TX,32.5,-99.7,1,,1999
28,10/11/99,West Portsmouth,OH,38.7,-83.1,1,,1999
29,10/11/99,Demorest,GA,34.6,-83.6,1,,1999
30,10/10/99,Downsview,ON,44.5,-77.9,1,,1999
31,10/10/99,Moodus,CT,41.5,-72.4,1,,1999
32,10/10/99,Racine,WI,42.7,-87.8,1,,1999
33,10/10/99,Westerly,RI,41.4,-71.8,1,,1999
34,10/09/99,Newton,MA,42.4,-71.2,1,,1999
35,10/09/99,Claremont,NH,43.4,-72.3,1,,1999
36,10/09/99,Schenectady,NY,42.8,-74.0,1,,1999
37,10/08/99,Brookline,MA,42.3,-71.1,1,,1999
38,10/08/99,bowie,MD,39.0,-76.7,1,,1999
39,10/08/99,Pittsburgh,PA,40.5,-80.0,1,,1999
40,10/07/99,Radford,VA,37.2,-80.6,1,,1999
41,10/07/99,Broken Arrow,OK,36.0,-95.8,1,,1999
42,10/07/99,Fiskdale,MA,42.1,-72.1,1,,1999
43,10/06/99,Waukesha,WI,43.0,-88.2,1,,1999
44,10/06/99,Abilene,TX,32.5,-99.7,1,,1999
45,10/05/99,DeForest,WI,43.2,-89.3,1,,1999
46,10/05/99,Waukesha,WI,43.0,-88.2,1,,1999
47,10/05/99,Sunset Hills,MO,38.5,-90.4,1,,1999
48,10/05/99,St. Louis,MO,38.6,-90.2,1,,1999
49,10/02/99,Fairview Park,OH,41.4,-81.9,1,,1999
50,10/02/99,Buffalo,NY,42.9,-78.9,1,,1999
51,10/01/99,Chicago,IL,41.5,-87.7,1,,1999
52,10/01/99,Cedar Rapids,IA,42.0,-91.7,1,,1999
53,10/01/99,Niagara Falls,ON,43.1,-79.0,1,,1999
54,09/29/99,Dell Rapids,SD,43.8,-96.8,1,,1999
55,09/28/99,Hales Corners,WI,42.9,-88.0,1,,1999
56,09/28/99,Ogdensburg,NY,44.7,-75.5,1,,1999
57,09/27/99,Battersea,ON,44.3,-76.2,1,,1999
58,09/20/99,St Cloud,MN,45.5,-94.3,1,,1999
59,09/12/99,Redford,MI,42.4,-83.3,1,,1999
